Ändere bitte meinen Namen,changename
Ich möchte meinen Usernamen ändern,changename
Mein Name ist falsch geschrieben,changename
Ich möchte meinen Namen angeben,changename
Darf ich mich vorstellen?,changename
Das ist nicht mein Name,changename
Du hast meinen Namen falsch verstanden!,changename
Setze meinen Namen,changename
Ich möchte meinen Nutzernamen �ndern,changename
Tschuess,goodbye
Machs gut!,goodbye
Auf Wiedersehen,goodbye
Tschüß,goodbye
Ade,goodbye
Tschüssi,goodbye
Tschüss bis bald,goodbye
Tschüss,goodbye
Bis bald,goodbye
Noch einen schönen Tag!,goodbye
Tschüss,goodbye
Man sieht sich.,goodbye
Machs gut.,goodbye
Das ist alles für heute,goodbye
Man schreibt sich,goodbye
Wieso kann ich manche Assets nicht löschen?,howto
Wo kann ich Informationen zu den REST APIS finden,howto
was ist der Ansatz Portal mit WCH zu integrieren,howto
Wo kann ich Details zu den REST APIS finden,howto
Kann ich mehrere Bilder auf einmal l�schen?,howto
Wie füge ich Categorien zu meinen Inhalten?,howto
Wie nutze ich Portal mit WCH?,howto
Kannst du mir zeigen wie ich Dateien hochladen kann?,howto
Kann ich mehrere Bilder gleichzeitig löschen?,howto
Ich habe Probleme ein Video hochzuladen,howto
Wieso kann ich manche Bilder nicht löschen?,howto
Kannst du mir zeigen wie ich ein Bild hochladen kann?,howto
Wo füge ich Nutzer zu WCH hinzu?,howto
Wie integriere ich WCH mit DX ?,howto
Wie füge ich Categorien zu meinen Items hinzu?,howto
Wie lade ich Bilder hoch?,howto
Ich interessiere mich für Watson Content Hub. Wie kann ich es ausprobieren?,howto
Was ist ein headless content managment system?,information
Wie sieht das Preismodell von Watson Content Hub?,information
Was wurde im M�rz released?,information
Wie ist die Preisgestaltung von Watson Content Hub?,information
Wie viel muss ich f�r Watson Content Hub zahlen?,information
Kann ich mehr erfahren,information
Was ist WCH?,information
Was ist eine Taxonomie?,information
Professor Watson. Welche Features gibt es seit April?,information
Was gibt es neues in Watson Content Hub?,information
Welche Rollen gibt es in Watson Content Hub?,information
Was gab es neues im April?,information
Was ist das Rollenkonzept von Watson Content Hub?,information
Sag mir etwas zu dem kognitiven Tagging von Watson Content Hub,information
Was geht bei Watson Content Hub?,information
Ich brauche details zu der Benutzeroberfl�sche f�r Authoren,information
Was ist Watson Content Hub,information
Was sind die Schl�sselfeatures?,information
Was ist Auto-Tagging?,information
Erz�hl mir etwas zu den Rich REST APIs,information
Feature 2 klingt ja spanned. Was genau ist das?,information
Was sind die neusten Features von Watson Content Hub?,information
Sag mir etwas zu den kontinuierlichen feature updates,information
Was wurde im Januar released?,information
Was genau kann ich unter Cogntitive Tagging verstehen,information
Was sind die Kernfeatures von Watson Content Hub?,information
Was gibt es neues im Mai?,information
Kannst du mir Informationen zur Benutzeroberfl�che geben?,information
Was gibt es neues im Dezember?,information
Was ist neu im Oktober?,information
